大專校院各校科系別概況										
105 學年度 SY2016-2017		
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0001	國立政治大學	310709	俄羅斯研究所	D 日	M 碩士	33	3	11	30 臺北市	1 一般
0001	國立政治大學	310728	亞太研究英語學位學程	D 日	D 博士	48	0	3	30 臺北市	1 一般
0001	國立政治大學	310728	亞太研究英語學位學程	D 日	M 碩士	102	0	28	30 臺北市	1 一般
0001	國立政治大學	310801	公共行政學系	D 日	D 博士	20	0	4	30 臺北市	1 一般
0001	國立政治大學	310801	公共行政學系	D 日	M 碩士	108	0	31	30 臺北市	1 一般
0001	國立政治大學	310801	公共行政學系	D 日	B 學士	194	13	39	30 臺北市	1 一般
0001	國立政治大學	310804	行政管理(暨政策)學系	N 職	M 碩士	241	0	56	30 臺北市	1 一般
0001	國立政治大學	310811	地政學系	D 日	D 博士	15	0	2	30 臺北市	1 一般
0001	國立政治大學	310811	地政學系	D 日	M 碩士	77	0	29	30 臺北市	1 一般
0001	國立政治大學	310811	地政學系	D 日	B 學士	530	23	105	30 臺北市	1 一般
0001	國立政治大學	310811	地政學系	N 職	M 碩士	93	0	18	30 臺北市	1 一般
0001	國立政治大學	310905	外交學系	D 日	D 博士	17	0	1	30 臺北市	1 一般
0001	國立政治大學	310905	外交學系	D 日	M 碩士	65	0	15	30 臺北市	1 一般
0001	國立政治大學	310905	外交學系	D 日	B 學士	277	13	70	30 臺北市	1 一般
0001	國立政治大學	310905	外交學系	N 職	M 碩士	67	0	17	30 臺北市	1 一般
0001	國立政治大學	310909	國際研究英語學位學程	D 日	M 碩士	36	0	13	30 臺北市	1 一般
0001	國立政治大學	310999	國際事務學院(不分系)	D 日		0	7	0	30 臺北市	1 一般
0001	國立政治大學	311002	國家發展(與兩岸關係)研究所	D 日	D 博士	26	0	4	30 臺北市	1 一般
0001	國立政治大學	311002	國家發展(與兩岸關係)研究所	D 日	M 碩士	71	9	15	30 臺北市	1 一般
0001	國立政治大學	311003	勞工(關係)學系	D 日	M 碩士	78	5	24	30 臺北市	1 一般
0001	國立政治大學	320102	傳播學系	D 日	M 碩士	143	0	0	30 臺北市	1 一般
0001	國立政治大學	320102	傳播學系	D 日	B 學士	63	0	18	30 臺北市	1 一般
0001	國立政治大學	320115	國際傳播學位學程	D 日	M 碩士	40	0	21	30 臺北市	1 一般
0001	國立政治大學	320201	新聞學系	D 日	D 博士	13	0	4	30 臺北市	1 一般
0001	國立政治大學	320201	新聞學系	D 日	M 碩士	42	0	27	30 臺北市	1 一般
0001	國立政治大學	320201	新聞學系	D 日	B 學士	218	15	81	30 臺北市	1 一般
0001	國立政治大學	320301	廣播電視(電影)學系	D 日	M 碩士	32	0	20	30 臺北市	1 一般
0001	國立政治大學	320301	廣播電視(電影)學系	D 日	B 學士	122	8	47	30 臺北市	1 一般
